,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Gluten-Free Appetizers,Taco Queso Dip,https://www.allrecipes.com/recipe/233722/taco-queso-dip/,5 m,20 m,25 m,Original recipe yields 10 servings,278  cals,19.6 ,5.5,16.8 ,71 ,572 ,1 pound ground beef;1 package taco seasoning;1 (12 fluid ounce) can or bottle beer;1 1/2 tablespoons butter;1 1/2 tablespoons all-purpose flour;2 cups shredded Mexican cheese blend;1 cup shredded white Cheddar cheese,3
1,Gluten-Free Appetizers,BLT Dip,https://www.allrecipes.com/recipe/14944/blt-dip/,5 m,10 m,25 m,Original recipe yields 16 servings (3 cups dip),181  cals,17.8 ,1.5,4.1 ,22 ,301 ,"1 pound bacon;1 cup mayonnaise;1 cup sour cream;1 tomato - peeled, seeded and diced",2
2,Gluten-Free Appetizers,Easy Guacamole,https://www.allrecipes.com/recipe/14064/easy-guacamole/,10 m,40 m,,Original recipe yields 16 servings (2 cups),45  cals,3.7 ,3.4,0.7 ,0 ,2 ,"2 avocados;1 small onion, finely chopped;1 clove garlic, minced;1 ripe tomato, chopped;1 lime, juiced;salt and pepper to taste",1
3,Gluten-Free Appetizers,Buffalo Chicken Wings I,https://www.allrecipes.com/recipe/8947/buffalo-chicken-wings-i/,,,,,,,,,,,,0
4,Gluten-Free Appetizers,Amy's Cilantro Cream Sauce,https://www.allrecipes.com/recipe/20446/amys-cilantro-cream-sauce/,10 m,10 m,,Original recipe yields 4 servings (2 cups),230  cals,20.5 ,7.1,5 ,63 ,868 ,"1 (8 ounce) package cream cheese, softened;1 tablespoon sour cream;1 (7 ounce) can tomatillo salsa;1 teaspoon freshly ground black pepper;1 teaspoon celery salt;1/2 teaspoon ground cumin;2 teaspoons garlic powder;1 bunch fresh cilantro, chopped;1 tablespoon fresh lime juice",1
5,Gluten-Free Appetizers,Yummy Roll Ups,https://www.allrecipes.com/recipe/22453/yummy-roll-ups/,10 m,10 m,,Original recipe yields 5 servings,231  cals,20.9 ,2.4,8.8 ,65 ,881 ,"5 slices cooked ham;1 (8 ounce) package cream cheese, softened;5 dill pickle spears",1
6,Gluten-Free Appetizers,Spinach and Artichoke Dip,https://www.allrecipes.com/recipe/13887/spinach-and-artichoke-dip/,10 m,15 m,25 m,Original recipe yields 6 servings (3 cups),559  cals,48.4 ,11.1,22.3 ,71 ,1147 ,"1 (14 ounce) can artichoke hearts, drained and chopped;1 (10 ounce) package frozen chopped spinach, thawed and drained;1 cup mayonnaise;1 cup grated Parmesan cheese;2 1/2 cups shredded Monterey Jack cheese",3
7,Gluten-Free Appetizers,Basil Shrimp,https://www.allrecipes.com/recipe/14580/basil-shrimp/,25 m,5 m,1 h 30 m,Original recipe yields 9 servings,206  cals,10.2 ,2.4,25 ,244 ,426 ,"2 1/2 tablespoons olive oil;1/4 cup butter, melted;1 1/2 lemons, juiced;3 tablespoons Dijon mustard (such as Grey Poupon Country Mustard™);1/2 cup minced fresh basil leaves;3 cloves garlic, minced;salt to taste;white pepper;3 pounds fresh shrimp, peeled and deveined;skewers",3
8,Gluten-Free Appetizers,Hummus III,https://www.allrecipes.com/recipe/14830/hummus-iii/,10 m,10 m,,Original recipe yields 16 servings (2 cups),77  cals,4.3 ,8.1,2.6 ,0 ,236 ,"2 cups canned garbanzo beans, drained;1/3 cup tahini;1/4 cup lemon juice;1 teaspoon salt;2 cloves garlic, halved;1 tablespoon olive oil;1 pinch paprika;1 teaspoon minced fresh parsley",2
9,Gluten-Free Appetizers,Baked Kale Chips,https://www.allrecipes.com/recipe/176957/baked-kale-chips/,10 m,10 m,20 m,Original recipe yields 6 servings,58  cals,2.8 ,7.6,2.5 ,0 ,185 ,1 bunch kale;1 tablespoon olive oil;1 teaspoon seasoned salt,3
